app_id,helpful,funny,date,is_recommended,hours,user_id
975370,0,0,2022-12-12,1,36.3,51580
304390,4,0,2017-02-17,0,11.5,2586
1085660,2,0,2019-11-17,1,336.5,253880
703080,0,0,2022-09-23,1,27.4,259432
526870,0,0,2021-01-10,1,7.9,23869
306130,0,0,2021-10-10,1,8.6,45425
238960,0,0,2017-11-25,1,538.8,88282
730,0,0,2021-11-30,0,157.5,63209
255710,0,0,2021-05-21,1,18.7,354512
289070,0,0,2020-05-26,1,397.5,454422
431960,0,0,2020-10-14,1,30.3,199725
1086940,0,0,2020-10-07,1,50.0,85822
1938090,0,0,2022-11-16,1,46.7,161081
1286830,2,0,2020-07-26,1,19.3,113279
1172620,0,0,2020-11-04,1,89.1,122640
306130,0,0,2021-05-12,1,61.1,75422
635260,0,0,2022-01-30,1,177.0,76583
1151340,0,0,2020-07-01,1,86.3,124924
289070,0,0,2020-05-29,1,244.1,261528
392160,3,0,2018-12-26,0,320.5,408750
570,0,0,2021-03-08,1,850.9,533127
1938090,0,0,2022-11-23,1,7.4,664486
534380,0,0,2022-10-08,1,40.6,22793
518790,0,0,2022-12-31,1,10.0,271318
236850,23,4,2021-03-20,1,5.7,118252
1172470,2,0,2021-05-04,1,235.1,375629
304390,2,0,2017-03-23,0,180.6,397000
42700,6,2,2019-10-19,0,5.9,433335
1091500,0,0,2021-02-01,1,108.8,474485
291550,0,0,2021-05-17,0,2.7,641971
1332010,0,0,2022-11-24,1,8.5,735574
629730,0,0,2021-02-10,1,40.3,747452
438100,0,0,2020-09-10,1,8.1,912612
294100,0,0,2022-02-19,1,367.1,1151457
1145360,0,0,2021-03-15,1,36.3,234421
431960,0,0,2020-11-13,1,11.0,246427
1794680,0,0,2022-11-23,1,55.8,337740
275850,0,0,2020-07-20,1,124.2,461815
284160,0,0,2020-01-26,1,197.4,477434
244850,0,0,2014-05-29,1,99.0,500848
1222140,0,0,2022-12-02,1,16.0,709818
359550,0,0,2021-11-21,1,166.6,763450
1938090,0,0,2022-11-23,1,98.7,903527
233860,0,0,2020-12-22,1,23.2,925679
252490,0,0,2020-04-22,1,0.4,1148682
431960,2,0,2018-12-29,1,119.3,1169883
394360,0,0,2020-07-11,0,0.3,911433
294100,2,0,2022-08-27,1,878.0,979929
1248130,0,0,2022-07-18,1,19.2,1093813
218620,2,0,2015-12-06,1,708.6,141761
376210,0,0,2022-05-07,1,502.3,216021
730,0,0,2021-11-19,1,21.4,461080
289070,0,0,2021-02-13,1,84.6,632038
526870,0,0,2020-11-27,1,10.7,1288761
1229490,0,0,2022-10-09,1,102.7,1335369
578080,0,0,2018-02-21,1,893.0,1389501
1248130,0,0,2022-04-23,1,27.2,1601711
394360,0,0,2019-07-01,1,224.1,638930
602960,0,0,2022-01-05,1,41.9,737481
1817190,0,0,2022-12-23,1,39.7,836746
381210,0,0,2022-06-14,1,223.4,901543
431960,0,0,2021-09-02,1,934.1,1166406
275850,0,0,2022-11-25,1,93.0,1176751
1222670,0,0,2021-02-25,1,47.4,1213181
1361210,0,0,2022-11-30,1,57.8,1271931
252490,0,0,2022-01-03,0,53.4,1443719
1850570,0,0,2022-12-12,1,1.1,1540121
976730,0,0,2021-11-25,0,21.1,1637069
1172620,0,0,2021-12-11,1,513.7,1638898
1332010,0,0,2022-07-23,1,5.9,358168
1250410,0,0,2020-08-18,0,33.5,531793
730,2,0,2015-09-24,1,337.8,623661
1419170,3,0,2021-07-12,1,6.4,666837
1817070,0,0,2022-08-29,1,33.0,702534
291550,0,0,2022-10-01,1,48.9,726113
376210,0,0,2021-03-01,1,114.2,944679
218620,0,0,2020-07-06,1,158.1,962009
233860,0,0,2022-10-05,1,776.5,980932
1789480,0,0,2022-10-05,1,23.4,1095513
291550,0,0,2021-09-30,1,17.9,1175038
489830,0,0,2020-11-19,1,259.0,1199958
851850,0,0,2020-11-30,1,37.9,1241408
1174180,0,0,2021-01-18,1,30.0,1518638
236390,0,0,2021-04-29,1,413.1,1647791
255710,0,0,2022-01-07,1,8.9,203746
107410,0,0,2014-06-26,1,69.1,391818
413150,2,0,2019-07-05,1,58.1,478483
1172620,0,0,2021-06-29,1,466.8,560450
1174180,0,0,2022-02-05,1,178.4,576857
620980,0,0,2022-07-24,1,33.0,628967
1938090,0,0,2022-11-11,1,124.1,1271336
1222140,0,0,2022-09-22,1,12.0,1193378
374320,0,0,2016-12-05,1,152.2,1308919
346110,0,0,2021-06-11,1,528.7,1324141
602960,0,0,2022-11-25,1,95.5,1336022
534380,0,0,2022-02-05,1,27.4,1407009
107410,0,0,2014-09-28,1,635.4,1509215
1250410,0,0,2020-12-09,1,307.2,1583597
578080,0,0,2017-11-24,1,44.8,1614318
381210,2,0,2021-05-31,0,197.3,1794409
1174180,0,0,2022-01-24,1,38.9,1966317
1174180,0,0,2020-09-21,1,172.9,2078256
1817190,0,0,2022-11-24,1,9.9,2274649
438100,0,0,2022-08-04,0,17.0,2394932
306130,0,0,2018-06-19,1,168.5,2434345
4000,0,0,2022-05-26,1,66.6,2469463
105600,0,0,2022-07-14,1,153.8,2680373
1943950,0,0,2022-12-21,0,21.0,2686477
620980,0,0,2022-01-14,1,60.1,2738784
1248130,0,0,2022-08-09,1,35.1,2757562
1174180,0,0,2021-11-23,1,298.0,2761347
238960,0,0,2021-07-06,1,10.8,2832559
438100,2,0,2022-07-25,0,534.8,2875001
306130,0,0,2020-10-22,1,623.9,2967327
397540,0,0,2021-03-09,1,123.1,2975317
1599340,0,0,2022-03-17,1,657.7,3041860
613100,0,0,2021-07-10,1,137.3,3065188
291550,0,0,2022-04-18,1,124.9,3203259
960090,2,0,2021-03-20,1,39.2,3473951
238960,9,0,2021-08-20,0,10.1,3670090
1085660,0,0,2022-06-25,1,13.2,3687614
107410,0,0,2015-07-14,0,119.1,3851355
284160,0,0,2022-07-29,1,50.7,4018619
730,3,0,2016-08-29,0,895.5,4040746
1172470,0,0,2022-07-22,0,55.4,4171159
435150,0,0,2020-06-09,1,858.1,4260271
582660,0,0,2021-03-19,1,35.1,4270852
1091500,2,0,2022-10-30,1,18.1,4342403
518790,0,0,2021-03-30,1,83.3,4428786
359550,0,0,2016-12-26,1,743.8,4469817
105600,2,0,2016-10-09,1,528.3,4470638
271590,0,0,2022-10-14,0,3.8,4622710
252490,0,0,2022-10-10,1,75.8,4623062
431960,0,0,2021-09-28,1,15.9,4749905
613100,0,0,2022-11-04,1,112.3,4803422
599140,0,0,2020-05-07,1,36.8,4823634
252490,0,0,2019-06-27,1,698.9,4943924
218620,0,0,2020-04-05,1,58.3,5110504
570940,348,39,2021-12-11,0,73.3,5136277
397540,0,0,2020-07-18,1,86.3,5227423
620980,0,0,2018-11-22,1,161.9,5254093
39210,0,0,2021-04-09,1,123.1,5261084
236850,2,0,2019-07-01,1,612.5,5458897
518790,0,0,2017-09-02,1,16.8,5498961
107410,0,0,2020-03-08,1,594.6,5557878
570,11,3,2016-12-10,0,380.7,5693273
306130,3,0,2017-11-03,0,788.5,5738347
271590,0,0,2015-04-14,1,52.1,5773446
107410,0,0,2019-06-29,1,898.7,5817561
107410,0,0,2019-07-05,1,640.5,5853461
1222670,0,0,2021-04-23,1,45.7,5931020
1196590,0,0,2022-07-03,1,19.0,5935019
620980,0,0,2020-07-09,1,64.7,5995957
394360,0,0,2019-06-28,1,705.8,6037396
1063730,2,0,2021-10-16,0,219.7,6167051
218620,2,0,2016-06-23,1,29.5,6367896
368260,0,0,2022-12-13,1,66.4,6574194
438100,0,0,2021-12-22,1,955.5,6644419
244210,0,0,2022-10-08,1,40.0,6651828
1599340,0,0,2022-05-28,1,91.9,6965470
1332010,4,3,2022-07-20,1,3.8,6968058
620980,0,0,2019-02-27,1,36.4,7022847
394360,0,2,2018-01-21,1,643.1,7075881
275850,0,0,2021-06-10,1,602.5,7090732
359550,0,0,2018-06-15,1,209.3,7104936
105600,0,0,2016-04-23,1,698.4,7177250
1091500,0,0,2021-01-03,0,61.4,7459076
291550,0,0,2021-02-11,1,54.0,7565906
1332010,0,0,2022-07-19,1,5.7,7716904
570,0,0,2018-03-17,1,251.9,7844204
1938090,0,0,2022-11-28,0,17.1,7909145
